Movie,Year,value,Release Date,Production Budget,Domestic Gross,Worldwide Gross
Captain America: Civil War,2016,Robert Downey Jr.,"Apr 22, 2016",250000000,408084349,1151899586.0
Captain America: Civil War,2016,Scarlett Johansson,"Apr 22, 2016",250000000,408084349,1151899586.0
Captain America: Civil War,2016,Sebastian Stan,"Apr 22, 2016",250000000,408084349,1151899586.0
The Hunger Games,2012,Jennifer Lawrence,"Mar 8, 2012",80000000,408010692,677923379.0
The Hunger Games,2012,Josh Hutcherson,"Mar 8, 2012",80000000,408010692,677923379.0
The Hunger Games,2012,Liam Hemsworth,"Mar 8, 2012",80000000,408010692,677923379.0
The Hunger Games,2012,Stanley Tucci,"Mar 8, 2012",80000000,408010692,677923379.0
Jumanji: Welcome to the Jungle,2017,Dwayne Johnson,"Dec 20, 2017",90000000,404508916,961632807.0
Jumanji: Welcome to the Jungle,2017,Karen Gillan,"Dec 20, 2017",90000000,404508916,961632807.0
Jumanji: Welcome to the Jungle,2017,Kevin Hart,"Dec 20, 2017",90000000,404508916,961632807.0
Jumanji: Welcome to the Jungle,2017,Jack Black,"Dec 20, 2017",90000000,404508916,961632807.0
Spider-Man,2002,Tobey Maguire,"May 3, 2002",139000000,403706375,821706375.0
Spider-Man,2002,Kirsten Dunst,"May 3, 2002",139000000,403706375,821706375.0
Spider-Man,2002,Willem Dafoe,"May 3, 2002",139000000,403706375,821706375.0
Spider-Man,2002,James Franco,"May 3, 2002",139000000,403706375,821706375.0
Jurassic Park,1993,Sam Neill,"Jun 11, 1993",63000000,402523348,1045573035.0
Jurassic Park,1993,Laura Dern,"Jun 11, 1993",63000000,402523348,1045573035.0
Jurassic Park,1993,Jeff Goldblum,"Jun 11, 1993",63000000,402523348,1045573035.0
Jurassic Park,1993,Richard Attenborough,"Jun 11, 1993",63000000,402523348,1045573035.0
Transformers: Revenge of the Fallen,2009,Shia LaBeouf,"Jun 24, 2009",210000000,402111870,836519699.0
Transformers: Revenge of the Fallen,2009,Megan Fox,"Jun 24, 2009",210000000,402111870,836519699.0
Transformers: Revenge of the Fallen,2009,Josh Duhamel,"Jun 24, 2009",210000000,402111870,836519699.0
Transformers: Revenge of the Fallen,2009,Tyrese Gibson,"Jun 24, 2009",210000000,402111870,836519699.0
Frozen,2013,Kristen Bell,"Nov 22, 2013",150000000,400953009,1261629241.0
Frozen,2013,Idina Menzel,"Nov 22, 2013",150000000,400953009,1261629241.0
Frozen,2013,Jonathan Groff,"Nov 22, 2013",150000000,400953009,1261629241.0
Frozen,2013,Josh Gad,"Nov 22, 2013",150000000,400953009,1261629241.0
Finding Nemo,2003,Albert Brooks,"May 30, 2003",94000000,380529370,936094852.0
Finding Nemo,2003,Ellen DeGeneres,"May 30, 2003",94000000,380529370,936094852.0
Finding Nemo,2003,Alexander Gould,"May 30, 2003",94000000,380529370,936094852.0
Finding Nemo,2003,Willem Dafoe,"May 30, 2003",94000000,380529370,936094852.0
The Lord of the Rings: The Return of the King,2003,Elijah Wood,"Dec 17, 2003",94000000,377845905,1120210896.0
The Lord of the Rings: The Return of the King,2003,Viggo Mortensen,"Dec 17, 2003",94000000,377845905,1120210896.0
The Lord of the Rings: The Return of the King,2003,Ian McKellen,"Dec 17, 2003",94000000,377845905,1120210896.0
The Lord of the Rings: The Return of the King,2003,Orlando Bloom,"Dec 17, 2003",94000000,377845905,1120210896.0
Spider-Man 2,2004,Tobey Maguire,"Jun 30, 2004",200000000,373524485,794697557.0
Spider-Man 2,2004,Kirsten Dunst,"Jun 30, 2004",200000000,373524485,794697557.0
Spider-Man 2,2004,Alfred Molina,"Jun 30, 2004",200000000,373524485,794697557.0
Spider-Man 2,2004,James Franco,"Jun 30, 2004",200000000,373524485,794697557.0
The Passion of the Christ,2004,Jim Caviezel,"Feb 19, 2004",25000000,370782930,622313635.0
The Passion of the Christ,2004,Monica Bellucci,"Feb 19, 2004",25000000,370782930,622313635.0
The Passion of the Christ,2004,Maia Morgenstern,"Feb 19, 2004",25000000,370782930,622313635.0
The Passion of the Christ,2004,Christo Jivkov,"Feb 19, 2004",25000000,370782930,622313635.0
The Secret Life of Pets,2016,Louis C.K.,"May 8, 2016",75000000,368384330,885302500.0
The Secret Life of Pets,2016,Eric Stonestreet,"May 8, 2016",75000000,368384330,885302500.0
The Secret Life of Pets,2016,Kevin Hart,"May 8, 2016",75000000,368384330,885302500.0
The Secret Life of Pets,2016,Lake Bell,"May 8, 2016",75000000,368384330,885302500.0
Despicable Me 2,2013,Steve Carell,"Jun 26, 2013",76000000,368065385,975216835.0
Despicable Me 2,2013,Kristen Wiig,"Jun 26, 2013",76000000,368065385,975216835.0
Despicable Me 2,2013,Benjamin Bratt,"Jun 26, 2013",76000000,368065385,975216835.0
Despicable Me 2,2013,Miranda Cosgrove,"Jun 26, 2013",76000000,368065385,975216835.0
The Jungle Book,2016,Neel Sethi,"Apr 7, 2016",175000000,364001123,953535821.0
The Jungle Book,2016,Bill Murray,"Apr 7, 2016",175000000,364001123,953535821.0
The Jungle Book,2016,Ben Kingsley,"Apr 7, 2016",175000000,364001123,953535821.0
The Jungle Book,2016,Idris Elba,"Apr 7, 2016",175000000,364001123,953535821.0
Deadpool,2016,Ryan Reynolds,"Feb 9, 2016",58000000,363070709,781947691.0
Deadpool,2016,Morena Baccarin,"Feb 9, 2016",58000000,363070709,781947691.0
Deadpool,2016,T.J. Miller,"Feb 9, 2016",58000000,363070709,781947691.0
Deadpool,2016,Ed Skrein,"Feb 9, 2016",58000000,363070709,781947691.0
Inside Out,2015,Amy Poehler,"Jun 12, 2015",175000000,356461711,853037219.0
Inside Out,2015,Bill Hader,"Jun 12, 2015",175000000,356461711,853037219.0
Inside Out,2015,Lewis Black,"Jun 12, 2015",175000000,356461711,853037219.0
Inside Out,2015,Mindy Kaling,"Jun 12, 2015",175000000,356461711,853037219.0
Aladdin,2019,Will Smith,"May 22, 2019",182000000,355559216,1046587513.0
Aladdin,2019,Mena Massoud,"May 22, 2019",182000000,355559216,1046587513.0
Aladdin,2019,Naomi Scott,"May 22, 2019",182000000,355559216,1046587513.0
Aladdin,2019,Marwan Kenzari,"May 22, 2019",182000000,355559216,1046587513.0
Transformers: Dark of the Moon,2011,Shia LaBeouf,"Jun 29, 2011",195000000,352390543,1123794079.0
Transformers: Dark of the Moon,2011,Rosie Huntington-Whiteley,"Jun 29, 2011",195000000,352390543,1123794079.0
Transformers: Dark of the Moon,2011,Tyrese Gibson,"Jun 29, 2011",195000000,352390543,1123794079.0
Transformers: Dark of the Moon,2011,Josh Duhamel,"Jun 29, 2011",195000000,352390543,1123794079.0
American Sniper,2014,Bradley Cooper,"Dec 25, 2014",58000000,350126372,547326372.0
American Sniper,2014,Sienna Miller,"Dec 25, 2014",58000000,350126372,547326372.0
American Sniper,2014,Kyle Gallner,"Dec 25, 2014",58000000,350126372,547326372.0
American Sniper,2014,Cole Konis,"Dec 25, 2014",58000000,350126372,547326372.0
The Lord of the Rings: The Two Towers,2002,Elijah Wood,"Dec 18, 2002",94000000,342548984,919148764.0
The Lord of the Rings: The Two Towers,2002,Ian McKellen,"Dec 18, 2002",94000000,342548984,919148764.0
The Lord of the Rings: The Two Towers,2002,Viggo Mortensen,"Dec 18, 2002",94000000,342548984,919148764.0
The Lord of the Rings: The Two Towers,2002,Orlando Bloom,"Dec 18, 2002",94000000,342548984,919148764.0
Zootopia,2016,Ginnifer Goodwin,"Feb 10, 2016",150000000,341268248,1004629935.0
Zootopia,2016,Jason Bateman,"Feb 10, 2016",150000000,341268248,1004629935.0
Zootopia,2016,Idris Elba,"Feb 10, 2016",150000000,341268248,1004629935.0
Zootopia,2016,Jenny Slate,"Feb 10, 2016",150000000,341268248,1004629935.0
The Hunger Games: Mockingjay - Part 1,2014,Jennifer Lawrence,"Nov 19, 2014",125000000,337135885,766575131.0
The Hunger Games: Mockingjay - Part 1,2014,Josh Hutcherson,"Nov 19, 2014",125000000,337135885,766575131.0
The Hunger Games: Mockingjay - Part 1,2014,Liam Hemsworth,"Nov 19, 2014",125000000,337135885,766575131.0
The Hunger Games: Mockingjay - Part 1,2014,Woody Harrelson,"Nov 19, 2014",125000000,337135885,766575131.0
Spider-Man 3,2007,Tobey Maguire,"May 4, 2007",258000000,336530303,894860230.0
Spider-Man 3,2007,Kirsten Dunst,"May 4, 2007",258000000,336530303,894860230.0
Spider-Man 3,2007,Topher Grace,"May 4, 2007",258000000,336530303,894860230.0
Spider-Man 3,2007,Thomas Haden Church,"May 4, 2007",258000000,336530303,894860230.0
Minions,2015,Sandra Bullock,"Jun 17, 2015",74000000,336045770,1157271759.0
Minions,2015,Jon Hamm,"Jun 17, 2015",74000000,336045770,1157271759.0
Minions,2015,Michael Keaton,"Jun 17, 2015",74000000,336045770,1157271759.0
Minions,2015,Pierre Coffin,"Jun 17, 2015",74000000,336045770,1157271759.0
Joker,2019,Joaquin Phoenix,"Oct 2, 2019",55000000,335451311,1069121583.0
Joker,2019,Robert De Niro,"Oct 2, 2019",55000000,335451311,1069121583.0
Joker,2019,Zazie Beetz,"Oct 2, 2019",55000000,335451311,1069121583.0
Joker,2019,Frances Conroy,"Oct 2, 2019",55000000,335451311,1069121583.0
Aquaman,2018,Jason Momoa,"Dec 6, 2018",160000000,335061807,1143758700.0
Aquaman,2018,Amber Heard,"Dec 6, 2018",160000000,335061807,1143758700.0
Aquaman,2018,Willem Dafoe,"Dec 6, 2018",160000000,335061807,1143758700.0
Aquaman,2018,Patrick Wilson,"Dec 6, 2018",160000000,335061807,1143758700.0
Spider-Man: Homecoming,2017,Tom Holland,"Jul 5, 2017",175000000,334201140,878271291.0
Spider-Man: Homecoming,2017,Michael Keaton,"Jul 5, 2017",175000000,334201140,878271291.0
Spider-Man: Homecoming,2017,Robert Downey Jr.,"Jul 5, 2017",175000000,334201140,878271291.0
Spider-Man: Homecoming,2017,Marisa Tomei,"Jul 5, 2017",175000000,334201140,878271291.0
Alice in Wonderland,2010,Mia Wasikowska,"Mar 4, 2010",200000000,334191110,1025491110.0
Alice in Wonderland,2010,Johnny Depp,"Mar 4, 2010",200000000,334191110,1025491110.0
Alice in Wonderland,2010,Helena Bonham Carter,"Mar 4, 2010",200000000,334191110,1025491110.0
Alice in Wonderland,2010,Anne Hathaway,"Mar 4, 2010",200000000,334191110,1025491110.0
Guardians of the Galaxy,2014,Chris Pratt,"Jul 31, 2014",170000000,333714112,770882395.0
Guardians of the Galaxy,2014,Vin Diesel,"Jul 31, 2014",170000000,333714112,770882395.0
Guardians of the Galaxy,2014,Bradley Cooper,"Jul 31, 2014",170000000,333714112,770882395.0
Guardians of the Galaxy,2014,Zoe Saldana,"Jul 31, 2014",170000000,333714112,770882395.0
Batman v Superman: Dawn of Justice,2016,Ben Affleck,"Mar 23, 2016",263000000,330360194,872395091.0
Batman v Superman: Dawn of Justice,2016,Henry Cavill,"Mar 23, 2016",263000000,330360194,872395091.0
Batman v Superman: Dawn of Justice,2016,Amy Adams,"Mar 23, 2016",263000000,330360194,872395091.0
Batman v Superman: Dawn of Justice,2016,Jesse Eisenberg,"Mar 23, 2016",263000000,330360194,872395091.0
Forrest Gump,1994,Tom Hanks,"Jul 6, 1994",55000000,330151138,679835137.0
Forrest Gump,1994,Robin Wright,"Jul 6, 1994",55000000,330151138,679835137.0
Forrest Gump,1994,Gary Sinise,"Jul 6, 1994",55000000,330151138,679835137.0
Forrest Gump,1994,Sally Field,"Jul 6, 1994",55000000,330151138,679835137.0
It,2017,Bill Skarsgård,"Aug 31, 2017",35000000,328828874,701012746.0
It,2017,Jaeden Martell,"Aug 31, 2017",35000000,328828874,701012746.0
It,2017,Finn Wolfhard,"Aug 31, 2017",35000000,328828874,701012746.0
It,2017,Sophia Lillis,"Aug 31, 2017",35000000,328828874,701012746.0
Suicide Squad,2016,Will Smith,"Aug 2, 2016",175000000,325100054,745744980.0
Suicide Squad,2016,Jared Leto,"Aug 2, 2016",175000000,325100054,745744980.0
Suicide Squad,2016,Margot Robbie,"Aug 2, 2016",175000000,325100054,745744980.0
Suicide Squad,2016,Viola Davis,"Aug 2, 2016",175000000,325100054,745744980.0
Deadpool 2,2018,Ryan Reynolds,"May 11, 2018",110000000,324591735,786362370.0
Deadpool 2,2018,Josh Brolin,"May 11, 2018",110000000,324591735,786362370.0
Deadpool 2,2018,Morena Baccarin,"May 11, 2018",110000000,324591735,786362370.0
Deadpool 2,2018,Julian Dennison,"May 11, 2018",110000000,324591735,786362370.0
Shrek the Third,2007,Mike Myers,"May 17, 2007",160000000,322719944,807330936.0
Shrek the Third,2007,Cameron Diaz,"May 17, 2007",160000000,322719944,807330936.0
Shrek the Third,2007,Eddie Murphy,"May 17, 2007",160000000,322719944,807330936.0
Shrek the Third,2007,Antonio Banderas,"May 17, 2007",160000000,322719944,807330936.0
Transformers,2007,Shia LaBeouf,"Jul 2, 2007",151000000,319246193,708272592.0
Transformers,2007,Megan Fox,"Jul 2, 2007",151000000,319246193,708272592.0
Transformers,2007,Josh Duhamel,"Jul 2, 2007",151000000,319246193,708272592.0
Transformers,2007,Tyrese Gibson,"Jul 2, 2007",151000000,319246193,708272592.0
Iron Man,2008,Robert Downey Jr.,"May 2, 2008",186000000,318604126,585171547.0
Iron Man,2008,Gwyneth Paltrow,"May 2, 2008",186000000,318604126,585171547.0
Iron Man,2008,Terrence Howard,"May 2, 2008",186000000,318604126,585171547.0
Iron Man,2008,Jeff Bridges,"May 2, 2008",186000000,318604126,585171547.0
Indiana Jones and the Kingdom of the Crystal Skull,2008,Harrison Ford,"May 22, 2008",185000000,317101119,786635413.0
Indiana Jones and the Kingdom of the Crystal Skull,2008,Cate Blanchett,"May 22, 2008",185000000,317101119,786635413.0
Indiana Jones and the Kingdom of the Crystal Skull,2008,Shia LaBeouf,"May 22, 2008",185000000,317101119,786635413.0
Indiana Jones and the Kingdom of the Crystal Skull,2008,Karen Allen,"May 22, 2008",185000000,317101119,786635413.0
Jumanji: The Next Level,2019,Dwayne Johnson,"Dec 4, 2019",125000000,316831246,798210215.0
Jumanji: The Next Level,2019,Jack Black,"Dec 4, 2019",125000000,316831246,798210215.0
Jumanji: The Next Level,2019,Kevin Hart,"Dec 4, 2019",125000000,316831246,798210215.0
Jumanji: The Next Level,2019,Karen Gillan,"Dec 4, 2019",125000000,316831246,798210215.0
The Lord of the Rings: The Fellowship of the Ring,2001,Elijah Wood,"Dec 19, 2001",93000000,315544750,891216824.0
The Lord of the Rings: The Fellowship of the Ring,2001,Ian McKellen,"Dec 19, 2001",93000000,315544750,891216824.0
The Lord of the Rings: The Fellowship of the Ring,2001,Orlando Bloom,"Dec 19, 2001",93000000,315544750,891216824.0
The Lord of the Rings: The Fellowship of the Ring,2001,Sean Bean,"Dec 19, 2001",93000000,315544750,891216824.0
Thor: Ragnarok,2017,Chris Hemsworth,"Oct 25, 2017",180000000,315058289,850482778.0
Thor: Ragnarok,2017,Tom Hiddleston,"Oct 25, 2017",180000000,315058289,850482778.0
Thor: Ragnarok,2017,Cate Blanchett,"Oct 25, 2017",180000000,315058289,850482778.0
Thor: Ragnarok,2017,Mark Ruffalo,"Oct 25, 2017",180000000,315058289,850482778.0
Iron Man 2,2010,Robert Downey Jr.,"May 7, 2010",170000000,312433331,621156389.0
Iron Man 2,2010,Mickey Rourke,"May 7, 2010",170000000,312433331,621156389.0
Iron Man 2,2010,Gwyneth Paltrow,"May 7, 2010",170000000,312433331,621156389.0
Iron Man 2,2010,Don Cheadle,"May 7, 2010",170000000,312433331,621156389.0
Independence Day,1996,Will Smith,"Jul 2, 1996",75000000,306169255,817400878.0
Independence Day,1996,Bill Pullman,"Jul 2, 1996",75000000,306169255,817400878.0
Independence Day,1996,Jeff Goldblum,"Jul 2, 1996",75000000,306169255,817400878.0
Independence Day,1996,Mary McDonnell,"Jul 2, 1996",75000000,306169255,817400878.0
Skyfall,2012,Daniel Craig,"Oct 26, 2012",200000000,304360277,1110526981.0
Skyfall,2012,Javier Bardem,"Oct 26, 2012",200000000,304360277,1110526981.0
Skyfall,2012,Naomie Harris,"Oct 26, 2012",200000000,304360277,1110526981.0
Skyfall,2012,Judi Dench,"Oct 26, 2012",200000000,304360277,1110526981.0
The Hobbit: An Unexpected Journey,2012,Martin Freeman,"Dec 11, 2012",200000000,303003568,1014938545.0
The Hobbit: An Unexpected Journey,2012,Ian McKellen,"Dec 11, 2012",200000000,303003568,1014938545.0
The Hobbit: An Unexpected Journey,2012,Richard Armitage,"Dec 11, 2012",200000000,303003568,1014938545.0
The Hobbit: An Unexpected Journey,2012,Andy Serkis,"Dec 11, 2012",200000000,303003568,1014938545.0
Harry Potter and the Half-Blood Prince,2009,Daniel Radcliffe,"Jul 15, 2009",250000000,302089278,929411069.0
Harry Potter and the Half-Blood Prince,2009,Emma Watson,"Jul 15, 2009",250000000,302089278,929411069.0
Harry Potter and the Half-Blood Prince,2009,Rupert Grint,"Jul 15, 2009",250000000,302089278,929411069.0
Harry Potter and the Half-Blood Prince,2009,Michael Gambon,"Jul 15, 2009",250000000,302089278,929411069.0
The Twilight Saga: Eclipse,2010,Kristen Stewart,"Jun 30, 2010",68000000,300531751,706102828.0
The Twilight Saga: Eclipse,2010,Robert Pattinson,"Jun 30, 2010",68000000,300531751,706102828.0
The Twilight Saga: Eclipse,2010,Taylor Lautner,"Jun 30, 2010",68000000,300531751,706102828.0
The Twilight Saga: Eclipse,2010,Xavier Samuel,"Jun 30, 2010",68000000,300531751,706102828.0
The Twilight Saga: New Moon,2009,Kristen Stewart,"Nov 19, 2009",50000000,296623634,687557727.0
The Twilight Saga: New Moon,2009,Robert Pattinson,"Nov 19, 2009",50000000,296623634,687557727.0
The Twilight Saga: New Moon,2009,Taylor Lautner,"Nov 19, 2009",50000000,296623634,687557727.0
The Twilight Saga: New Moon,2009,Christina Jastrzembska,"Nov 19, 2009",50000000,296623634,687557727.0
The Sixth Sense,1999,Bruce Willis,"Jan 15, 1999",40000000,293506292,672806292.0
The Sixth Sense,1999,Haley Joel Osment,"Jan 15, 1999",40000000,293506292,672806292.0
The Sixth Sense,1999,Toni Collette,"Jan 15, 1999",40000000,293506292,672806292.0
The Sixth Sense,1999,Olivia Williams,"Jan 15, 1999",40000000,293506292,672806292.0
Up,2009,Edward Asner,"May 28, 2009",175000000,293004164,731463377.0
Up,2009,Jordan Nagai,"May 28, 2009",175000000,293004164,731463377.0
